vehicles,0,858,359,902,380
person,1,225,327,290,464
vehicles,0,625,311,657,356
traffic_light,3,983,181,1020,253
traffic_light,3,920,2,990,50
traffic_light,3,126,374,144,404
person,1,976,316,1014,441
person,1,890,313,935,414
person,1,1067,395,1087,434
vehicles,0,1045,393,1076,428
traffic_light,3,1145,291,1158,334
traffic_light,3,119,224,146,277
person,1,275,319,321,440
person,1,254,355,293,433
person,1,372,318,409,407
person,1,348,324,383,413
vehicles,0,995,374,1049,423
bicycle,2,1078,402,1163,463
person,1,311,362,322,399
